,0
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,1
399,0
400,0
401,1
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,1
533,1
534,0
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,0
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,0
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,1
657,1
658,0
659,0
660,0
661,1
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,1
670,1
671,0
672,0
673,0
674,1
675,1
676,0
677,1
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,1
698,1
699,0
700,1
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,0
729,0
730,0
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,1
761,0
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,1
809,0
810,0
811,0
812,0
